"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep","SurprisalIBRDepth","SurprisalIBRSpkSep","SurprisalIBRLisSep"
"000000111",3,3,"4","FALSE","FALSE","4","FALSE","FALSE"
"000001110",3,3,"3","FALSE","TRUE","3","FALSE","TRUE"
"000001111",3,3,"3","FALSE","TRUE","3","FALSE","TRUE"
"000011100",3,3,"3","FALSE","TRUE","3","FALSE","TRUE"
"000011101",3,3,"5","TRUE","TRUE","5","TRUE","TRUE"
"000011111",3,3,"3","FALSE","TRUE","3","FALSE","TRUE"
"000111111",3,3,"4","FALSE","FALSE","4","FALSE","FALSE"
"001001110",3,3,"2","FALSE","FALSE","2","FALSE","FALSE"
"001001111",3,3,"3","FALSE","FALSE","3","FALSE","FALSE"
"001010100",3,3,"2","TRUE","TRUE","2","TRUE","TRUE"
"001010101",3,3,"3","TRUE","TRUE","3","TRUE","TRUE"
"001010110",3,3,"3","TRUE","TRUE","3","TRUE","TRUE"
"001010111",3,3,"3","TRUE","TRUE","3","TRUE","TRUE"
"001011100",3,3,"3","TRUE","TRUE","3","TRUE","TRUE"
"001011101",3,3,"3","TRUE","TRUE","3","TRUE","TRUE"
"001011110",3,3,"4","TRUE","TRUE","3","TRUE","TRUE"
"001011111",3,3,"3","TRUE","TRUE","3","TRUE","TRUE"
"001110110",3,3,"2","FALSE","FALSE","2","FALSE","FALSE"
"001110111",3,3,"2","FALSE","TRUE","2","FALSE","TRUE"
"001111111",3,3,"3","FALSE","FALSE","3","FALSE","FALSE"
"010101110",3,3,"4","TRUE","TRUE","3","TRUE","TRUE"
"011011100",3,3,"2","FALSE","FALSE","2","FALSE","FALSE"
"011011101",3,3,"3","TRUE","FALSE","3","FALSE","FALSE"
"011011111",3,3,"3","FALSE","FALSE","3","FALSE","FALSE"
"011100100",3,3,"2","FALSE","FALSE","2","FALSE","FALSE"
"011100101",3,3,"4","TRUE","TRUE","3","TRUE","TRUE"
"011100111",3,3,"2","FALSE","TRUE","2","FALSE","TRUE"
"011101101",3,3,"3","TRUE","FALSE","3","FALSE","FALSE"
"011101110",3,3,"2","FALSE","FALSE","2","FALSE","FALSE"
"011101111",3,3,"5","TRUE","TRUE","5","TRUE","TRUE"
"011111111",3,3,"3","FALSE","FALSE","3","FALSE","FALSE"
"111111111",3,3,"2","FALSE","FALSE","2","FALSE","FALSE"
