experiment,condition,task,target,dist,other,target.cil,target.cih
FG,1/1,listener,98.10256,0.9487179,0.9487179,1.846154,1.538462
FG,1/2,listener,46.08511,49.1276596,4.787234,5.638298,5.957979
FG,1/3,listener,29.625,28.8125,41.5625,3.1875,3.208854
FG,2/2 asym,listener,44.33333,52.4583333,3.2083333,6.501042,6.254167
FG,2/2 sym,listener,46.35,48.35,5.3,5.3525,4.15375
FG,2/3,listener,28.47209,29.5651163,41.9604651,3.574767,3.837965
FG,3/3,listener,33.16619,34.8566667,31.9766667,2.000393,2.174958
FG,1/1,salience,50.95556,24.21111,24.83333,NA,NA
FG,1/2,salience,25.51027,36.87741,37.5919,NA,NA
FG,1/3,salience,22.21844,24.06289,53.74089,NA,NA
FG,2/2 asym,salience,20.75,40.25,39,NA,NA
FG,2/2 sym,salience,24.61211,22.55947,52.82789,NA,NA
FG,2/3,salience,30.94438,28.25688,40.79854,NA,NA
FG,3/3,salience,35.9116,32.0422,32.0422,NA,NA
