"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep","SurprisalIBRDepth","SurprisalIBRSpkSep","SurprisalIBRLisSep"
"0000011110011011",4,4,"4","FALSE","TRUE","3","FALSE","TRUE"
"0000011110011110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110011111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0000011110111011",4,4,"5","FALSE","FALSE","3","FALSE","FALSE"
"0000011110111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000011110111101",4,4,"5","FALSE","FALSE","5","FALSE","FALSE"
"0000011110111111",4,4,"5","FALSE","FALSE","5","FALSE","FALSE"
"0000011111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0000111111111111",4,4,"4","FALSE","FALSE","4","FALSE","FALSE"
"0001000100011110",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001000100011111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100101100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001000100101101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100101111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111100",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000100111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101101000",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001000101101001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101101010",4,4,"3","TRUE","FALSE","3","TRUE","FALSE"
"0001000101101011",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101101111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101111000",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101111001",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101111010",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000101111011",4,4,"3","TRUE","FALSE","3","TRUE","FALSE"
"0001000101111110",4,4,"4","FALSE","FALSE","3","FALSE","FALSE"
"0001000101111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001000111101110",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001000111101111",4,4,"2","FALSE","FALSE","3","FALSE","FALSE"
"0001000111111111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001000101100",4,4,"2","FALSE","FALSE","2","FALSE","FALSE"
"0001001000101101",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001000101110",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001000101111",4,4,"3","FALSE","FALSE","3","FALSE","FALSE"
"0001001000111100",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001000111101",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001000111110",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001000111111",4,4,"3","FALSE","TRUE","3","FALSE","TRUE"
"0001001001001000",4,4,"2","TRUE","TRUE","2","TRUE","TRUE"
"0001001001001001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001001010",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001001011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001001100",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001001101",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001001110",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001001111",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011000",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011001",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011010",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011011",4,4,"3","TRUE","TRUE","3","TRUE","TRUE"
"0001001001011100",4,4,"4","TRUE","TRUE","3","TRUE","TRUE"
