"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","permutedMatrix2"
30,"001011000","S30-trial1.jpg",1,"sundae","sundaes",2,3,1,"chocolate","whipped cream",1,"chocolate sauce",2,"000001011","S30-trial2.jpg",0,"snowman","snowmen",1,3,2,"scarf","a beanie",2,"a scarf",1,"101100000"
31,"001011000","S31-trial1.jpg",1,"sundae","sundaes",3,2,1,"cherry","a cherry",2,"chocolate sauce",1,"011000010","S31-trial2.jpg",0,"face","faces",3,2,1,"hat","a hat",1,"glasses",2,"001011000"
32,"001011000","S32-trial1.jpg",1,"face","faces",2,3,1,"hat","a hat",2,"glasses",1,"011001000","S32-trial2.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","whipped cream",1,"chocolate sauce",2,"000010110"
33,"001011000","S33-trial1.jpg",0,"sundae","sundaes",1,3,2,"cherry","a cherry",1,"whipped cream",2,"100101000","S33-trial2.jpg",1,"snowman","snowmen",2,3,1,"beanie","a beanie",2,"a scarf",1,"011001000"
34,"001011000","S34-trial1.jpg",1,"face","faces",1,2,3,"hat","a hat",2,"a mustache",1,"110000010","S34-trial2.jpg",0,"snowman","snowmen",1,2,3,"scarf","a scarf",1,"gloves",2,"000100110"
35,"001011000","S35-trial1.jpg",1,"sundae","sundaes",2,3,1,"cherry","a cherry",2,"chocolate sauce",1,"011000001","S35-trial2.jpg",0,"snowman","snowmen",1,3,2,"scarf","a scarf",1,"gloves",2,"000100101"
36,"001011000","S36-trial1.jpg",1,"snowman","snowmen",2,1,3,"scarf","a scarf",2,"gloves",1,"000110100","S36-trial2.jpg",0,"sundae","sundaes",1,2,3,"cherry","a cherry",1,"whipped cream",2,"100110000"
37,"001011000","S37-trial1.jpg",1,"sundae","sundaes",3,1,2,"chocolate","a cherry",1,"chocolate sauce",2,"100000101","S37-trial2.jpg",0,"snowman","snowmen",1,3,2,"beanie","a beanie",1,"gloves",2,"100000101"
38,"001011000","S38-trial1.jpg",0,"sundae","sundaes",3,1,2,"cherry","a cherry",1,"whipped cream",2,"001101000","S38-trial2.jpg",1,"snowman","snowmen",3,1,2,"beanie","a beanie",2,"a scarf",1,"101100000"
39,"001011000","S39-trial1.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","whipped cream",2,"chocolate sauce",1,"000101100","S39-trial2.jpg",0,"snowman","snowmen",3,1,2,"gloves","a scarf",2,"gloves",1,"000101001"
40,"001011000","S40-trial1.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","a cherry",1,"whipped cream",2,"100101000","S40-trial2.jpg",0,"face","faces",2,3,1,"glasses","a hat",2,"glasses",1,"011010000"
41,"001011000","S41-trial1.jpg",0,"sundae","sundaes",1,2,3,"chocolate","a cherry",2,"chocolate sauce",1,"110000100","S41-trial2.jpg",1,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"gloves",2,"010000110"
42,"001011000","S42-trial1.jpg",0,"sundae","sundaes",3,2,1,"whipped cream","a cherry",2,"whipped cream",1,"011001000","S42-trial2.jpg",1,"face","faces",3,2,1,"glasses","a hat",1,"glasses",2,"010011000"
43,"001011000","S43-trial1.jpg",0,"snowman","snowmen",3,1,2,"beanie","a beanie",1,"a scarf",2,"001101000","S43-trial2.jpg",1,"sundae","sundaes",2,1,3,"chocolate","a cherry",1,"chocolate sauce",2,"100000110"
44,"001011000","S44-trial1.jpg",0,"face","faces",2,3,1,"mustache","a hat",2,"a mustache",1,"011000010","S44-trial2.jpg",1,"snowman","snowmen",2,3,1,"beanie","a beanie",2,"gloves",1,"011000001"
45,"001011000","S45-trial1.jpg",0,"snowman","snowmen",2,3,1,"beanie","a beanie",1,"a scarf",2,"010011000","S45-trial2.jpg",1,"face","faces",2,1,3,"mustache","a hat",1,"a mustache",2,"100000110"
46,"001011000","S46-trial1.jpg",1,"face","faces",1,3,2,"hat","a hat",2,"a mustache",1,"101000001","S46-trial2.jpg",0,"sundae","sundaes",2,1,3,"cherry","a cherry",1,"chocolate sauce",2,"010000110"
47,"001011000","S47-trial1.jpg",0,"face","faces",2,1,3,"mustache","a hat",2,"a mustache",1,"110000010","S47-trial2.jpg",1,"sundae","sundaes",2,3,1,"whipped cream","whipped cream",2,"chocolate sauce",1,"000011001"
48,"001011000","S48-trial1.jpg",0,"face","faces",1,2,3,"glasses","a hat",2,"glasses",1,"110100000","S48-trial2.jpg",1,"sundae","sundaes",1,3,2,"chocolate","a cherry",1,"chocolate sauce",2,"001000101"
49,"001011000","S49-trial1.jpg",1,"sundae","sundaes",1,3,2,"chocolate","a cherry",1,"chocolate sauce",2,"001000101","S49-trial2.jpg",0,"snowman","snowmen",1,3,2,"scarf","a beanie",2,"a scarf",1,"101100000"
50,"001011000","S50-trial1.jpg",0,"face","faces",3,2,1,"mustache","a hat",2,"a mustache",1,"011000001","S50-trial2.jpg",1,"snowman","snowmen",1,3,2,"scarf","a beanie",1,"a scarf",2,"001101000"
