"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","permutedMatrix2"
1,"001011000","E0-stims/S1-trial1.jpg",0,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"gloves",1,"101000100","E0-stims/S1-trial2.jpg",1,"face","faces",1,2,3,"hat","a hat",2,"a mustache",1,"110000010"
2,"001011000","E0-stims/S2-trial1.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","a cherry",1,"whipped cream",2,"100101000","E0-stims/S2-trial2.jpg",0,"face","faces",3,1,2,"glasses","a hat",2,"glasses",1,"101001000"
3,"001011000","E0-stims/S3-trial1.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","whipped cream",1,"chocolate sauce",2,"000001101","E0-stims/S3-trial2.jpg",1,"face","faces",3,1,2,"hat","a hat",2,"a mustache",1,"101000100"
