"hitNum","originalMatrix","filenameTrial1","levelTrial1","stimSingularTrial1","stimPluralTrial1","targetReferentTrial1","distractorReferentTrial1","otherReferentTrial1","targetFeatureTrial1","check1NameTrial1","check1CountTrial1","check2NameTrial1","check2CountTrial1","check3NameTrial1","check3CountTrial1","permutedMatrix1","filenameTrial2","levelTrial2","stimSingularTrial2","stimPluralTrial2","targetReferentTrial2","distractorReferentTrial2","otherReferentTrial2","targetFeatureTrial2","check1NameTrial2","check1CountTrial2","check2NameTrial2","check2CountTrial2","check3NameTrial2","check3CountTrial2","permutedMatrix2","filenameTrial3","levelTrial3","stimSingularTrial3","stimPluralTrial3","targetReferentTrial3","distractorReferentTrial3","otherReferentTrial3","targetFeatureTrial3","check1NameTrial3","check1CountTrial3","check2NameTrial3","check2CountTrial3","check3NameTrial3","check3CountTrial3","permutedMatrix3"
11,"001011110","E1S_targ-stims/S11-trial1.jpg",0,"face","faces",1,2,3,"hat","a hat",1,"glasses",2,"a mustache",2,"100101011","E1S_targ-stims/S11-trial2.jpg",2,"sundae","sundaes",3,2,1,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011010101","E1S_targ-stims/S11-trial3.jpg",1,"snowman","snowmen",3,1,2,"gloves","a beanie",2,"a scarf",1,"gloves",2,"110010101"
12,"001011110","E1S_targ-stims/S12-trial1.jpg",2,"face","faces",3,1,2,"mustache","a hat",1,"glasses",2,"a mustache",2,"100011101","E1S_targ-stims/S12-trial2.jpg",1,"snowman","snowmen",2,1,3,"scarf","a beanie",1,"a scarf",2,"gloves",2,"001110101","E1S_targ-stims/S12-trial3.jpg",0,"sundae","sundaes",2,3,1,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010110"
13,"001011110","E1S_targ-stims/S13-trial1.jpg",1,"face","faces",3,2,1,"mustache","a hat",2,"glasses",1,"a mustache",2,"110100011","E1S_targ-stims/S13-trial2.jpg",2,"sundae","sundaes",1,3,2,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101001110","E1S_targ-stims/S13-trial3.jpg",0,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",1,"gloves",2,"101001110"
14,"001011110","E1S_targ-stims/S14-trial1.jpg",1,"face","faces",1,2,3,"hat","a hat",2,"glasses",2,"a mustache",1,"110011001","E1S_targ-stims/S14-trial2.jpg",2,"snowman","snowmen",2,1,3,"gloves","a beanie",2,"a scarf",1,"gloves",2,"011100110","E1S_targ-stims/S14-trial3.jpg",0,"sundae","sundaes",2,1,3,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011101010"
15,"001011110","E1S_targ-stims/S15-trial1.jpg",0,"face","faces",2,3,1,"hat","a hat",1,"glasses",2,"a mustache",2,"010110101","E1S_targ-stims/S15-trial2.jpg",1,"sundae","sundaes",2,3,1,"cherry","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011101100","E1S_targ-stims/S15-trial3.jpg",2,"snowman","snowmen",1,3,2,"scarf","a beanie",1,"a scarf",2,"gloves",2,"001101110"
16,"001011110","E1S_targ-stims/S16-trial1.jpg",2,"face","faces",3,2,1,"mustache","a hat",1,"glasses",2,"a mustache",2,"010101011","E1S_targ-stims/S16-trial2.jpg",0,"sundae","sundaes",2,3,1,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010110","E1S_targ-stims/S16-trial3.jpg",1,"snowman","snowmen",1,3,2,"scarf","a beanie",2,"a scarf",2,"gloves",1,"011101010"
17,"001011110","E1S_targ-stims/S17-trial1.jpg",1,"face","faces",3,2,1,"glasses","a hat",1,"glasses",2,"a mustache",2,"100011110","E1S_targ-stims/S17-trial2.jpg",0,"sundae","sundaes",1,3,2,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"110011100","E1S_targ-stims/S17-trial3.jpg",2,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"a scarf",2,"gloves",1,"110011100"
18,"001011110","E1S_targ-stims/S18-trial1.jpg",2,"snowman","snowmen",1,3,2,"beanie","a beanie",2,"a scarf",2,"gloves",1,"101110001","E1S_targ-stims/S18-trial2.jpg",1,"sundae","sundaes",2,1,3,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101001110","E1S_targ-stims/S18-trial3.jpg",0,"face","faces",2,3,1,"mustache","a hat",2,"glasses",2,"a mustache",1,"101110010"
19,"001011110","E1S_targ-stims/S19-trial1.jpg",1,"snowman","snowmen",3,2,1,"scarf","a beanie",1,"a scarf",2,"gloves",2,"100011110","E1S_targ-stims/S19-trial2.jpg",2,"sundae","sundaes",3,2,1,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101011010","E1S_targ-stims/S19-trial3.jpg",0,"face","faces",3,1,2,"glasses","a hat",2,"glasses",1,"a mustache",2,"011001110"
20,"001011110","E1S_targ-stims/S20-trial1.jpg",2,"sundae","sundaes",3,1,2,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"100011101","E1S_targ-stims/S20-trial2.jpg",1,"snowman","snowmen",1,2,3,"scarf","a beanie",2,"a scarf",2,"gloves",1,"011110001","E1S_targ-stims/S20-trial3.jpg",0,"face","faces",3,1,2,"mustache","a hat",2,"glasses",2,"a mustache",1,"110011001"
21,"001011110","E1S_targ-stims/S21-trial1.jpg",0,"sundae","sundaes",1,3,2,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011100110","E1S_targ-stims/S21-trial2.jpg",1,"snowman","snowmen",3,1,2,"scarf","a beanie",2,"a scarf",2,"gloves",1,"110101010","E1S_targ-stims/S21-trial3.jpg",2,"face","faces",2,3,1,"hat","a hat",2,"glasses",1,"a mustache",2,"011001110"
22,"001011110","E1S_targ-stims/S22-trial1.jpg",2,"face","faces",1,2,3,"mustache","a hat",1,"glasses",2,"a mustache",2,"010101110","E1S_targ-stims/S22-trial2.jpg",1,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"a scarf",2,"gloves",1,"110101001","E1S_targ-stims/S22-trial3.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011001110"
23,"001011110","E1S_targ-stims/S23-trial1.jpg",1,"sundae","sundaes",3,1,2,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",1,"110101010","E1S_targ-stims/S23-trial2.jpg",0,"face","faces",2,3,1,"mustache","a hat",2,"glasses",2,"a mustache",1,"101110010","E1S_targ-stims/S23-trial3.jpg",2,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",2,"gloves",1,"101011010"
24,"001011110","E1S_targ-stims/S24-trial1.jpg",0,"sundae","sundaes",1,3,2,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"110011100","E1S_targ-stims/S24-trial2.jpg",1,"snowman","snowmen",3,2,1,"scarf","a beanie",1,"a scarf",2,"gloves",2,"100011110","E1S_targ-stims/S24-trial3.jpg",2,"face","faces",2,3,1,"hat","a hat",2,"glasses",1,"a mustache",2,"011001110"
25,"001011110","E1S_targ-stims/S25-trial1.jpg",1,"sundae","sundaes",3,1,2,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"110010101","E1S_targ-stims/S25-trial2.jpg",2,"snowman","snowmen",1,2,3,"scarf","a beanie",2,"a scarf",2,"gloves",1,"101110010","E1S_targ-stims/S25-trial3.jpg",0,"face","faces",1,2,3,"mustache","a hat",2,"glasses",2,"a mustache",1,"101011100"
26,"001011110","E1S_targ-stims/S26-trial1.jpg",0,"sundae","sundaes",1,2,3,"chocolate","a cherry",2,"whipped cream",2,"chocolate sauce",1,"011101100","E1S_targ-stims/S26-trial2.jpg",2,"face","faces",3,2,1,"glasses","a hat",2,"glasses",2,"a mustache",1,"101011010","E1S_targ-stims/S26-trial3.jpg",1,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"a scarf",1,"gloves",2,"011010101"
27,"001011110","E1S_targ-stims/S27-trial1.jpg",1,"snowman","snowmen",3,1,2,"beanie","a beanie",2,"a scarf",1,"gloves",2,"101010110","E1S_targ-stims/S27-trial2.jpg",0,"face","faces",1,3,2,"glasses","a hat",2,"glasses",1,"a mustache",2,"011100110","E1S_targ-stims/S27-trial3.jpg",2,"sundae","sundaes",1,2,3,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010110"
28,"001011110","E1S_targ-stims/S28-trial1.jpg",1,"face","faces",1,2,3,"mustache","a hat",1,"glasses",2,"a mustache",2,"001011110","E1S_targ-stims/S28-trial2.jpg",2,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"a scarf",2,"gloves",2,"010101110","E1S_targ-stims/S28-trial3.jpg",0,"sundae","sundaes",2,1,3,"cherry","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010101011"
29,"001011110","E1S_targ-stims/S29-trial1.jpg",0,"snowman","snowmen",1,3,2,"scarf","a beanie",2,"a scarf",1,"gloves",2,"011100110","E1S_targ-stims/S29-trial2.jpg",2,"face","faces",3,1,2,"hat","a hat",2,"glasses",1,"a mustache",2,"101100011","E1S_targ-stims/S29-trial3.jpg",1,"sundae","sundaes",2,1,3,"cherry","a cherry",2,"whipped cream",2,"chocolate sauce",1,"110101001"
30,"001011110","E1S_targ-stims/S30-trial1.jpg",1,"snowman","snowmen",3,1,2,"scarf","a beanie",2,"a scarf",2,"gloves",1,"110101010","E1S_targ-stims/S30-trial2.jpg",0,"sundae","sundaes",3,2,1,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"110001101","E1S_targ-stims/S30-trial3.jpg",2,"face","faces",3,2,1,"hat","a hat",2,"glasses",2,"a mustache",1,"011101010"
31,"001011110","E1S_targ-stims/S31-trial1.jpg",2,"snowman","snowmen",3,2,1,"beanie","a beanie",2,"a scarf",2,"gloves",1,"011101010","E1S_targ-stims/S31-trial2.jpg",1,"face","faces",3,2,1,"hat","a hat",2,"glasses",1,"a mustache",2,"011100110","E1S_targ-stims/S31-trial3.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011010101"
32,"001011110","E1S_targ-stims/S32-trial1.jpg",0,"face","faces",3,2,1,"mustache","a hat",2,"glasses",2,"a mustache",1,"110101001","E1S_targ-stims/S32-trial2.jpg",1,"sundae","sundaes",2,3,1,"whipped cream","a cherry",1,"whipped cream",2,"chocolate sauce",2,"100011101","E1S_targ-stims/S32-trial3.jpg",2,"snowman","snowmen",1,3,2,"gloves","a beanie",2,"a scarf",1,"gloves",2,"110001101"
33,"001011110","E1S_targ-stims/S33-trial1.jpg",0,"face","faces",1,3,2,"hat","a hat",1,"glasses",2,"a mustache",2,"100011110","E1S_targ-stims/S33-trial2.jpg",1,"sundae","sundaes",2,1,3,"whipped cream","a cherry",1,"whipped cream",2,"chocolate sauce",2,"001110101","E1S_targ-stims/S33-trial3.jpg",2,"snowman","snowmen",1,2,3,"gloves","a beanie",2,"a scarf",1,"gloves",2,"101010110"
34,"001011110","E1S_targ-stims/S34-trial1.jpg",1,"face","faces",1,3,2,"mustache","a hat",1,"glasses",2,"a mustache",2,"010011101","E1S_targ-stims/S34-trial2.jpg",0,"sundae","sundaes",2,1,3,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010011","E1S_targ-stims/S34-trial3.jpg",2,"snowman","snowmen",1,3,2,"beanie","a beanie",2,"a scarf",2,"gloves",1,"101110001"
35,"001011110","E1S_targ-stims/S35-trial1.jpg",2,"snowman","snowmen",2,3,1,"scarf","a beanie",2,"a scarf",2,"gloves",1,"110011001","E1S_targ-stims/S35-trial2.jpg",1,"sundae","sundaes",1,3,2,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010011101","E1S_targ-stims/S35-trial3.jpg",0,"face","faces",2,3,1,"glasses","a hat",2,"glasses",1,"a mustache",2,"101010110"
36,"001011110","E1S_targ-stims/S36-trial1.jpg",2,"sundae","sundaes",1,2,3,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010110","E1S_targ-stims/S36-trial2.jpg",0,"face","faces",3,1,2,"hat","a hat",1,"glasses",2,"a mustache",2,"001110011","E1S_targ-stims/S36-trial3.jpg",1,"snowman","snowmen",2,1,3,"gloves","a beanie",1,"a scarf",2,"gloves",2,"001101110"
37,"001011110","E1S_targ-stims/S37-trial1.jpg",0,"snowman","snowmen",1,3,2,"beanie","a beanie",1,"a scarf",2,"gloves",2,"100110011","E1S_targ-stims/S37-trial2.jpg",1,"face","faces",1,3,2,"glasses","a hat",1,"glasses",2,"a mustache",2,"010101011","E1S_targ-stims/S37-trial3.jpg",2,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"110001011"
38,"001011110","E1S_targ-stims/S38-trial1.jpg",0,"snowman","snowmen",3,1,2,"scarf","a beanie",2,"a scarf",1,"gloves",2,"011001110","E1S_targ-stims/S38-trial2.jpg",2,"sundae","sundaes",3,2,1,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010011","E1S_targ-stims/S38-trial3.jpg",1,"face","faces",3,1,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"110010101"
39,"001011110","E1S_targ-stims/S39-trial1.jpg",2,"sundae","sundaes",2,1,3,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"100011110","E1S_targ-stims/S39-trial2.jpg",0,"face","faces",1,3,2,"mustache","a hat",2,"glasses",2,"a mustache",1,"011110100","E1S_targ-stims/S39-trial3.jpg",1,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"a scarf",1,"gloves",2,"110001101"
40,"001011110","E1S_targ-stims/S40-trial1.jpg",1,"face","faces",3,1,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"110010101","E1S_targ-stims/S40-trial2.jpg",0,"snowman","snowmen",3,2,1,"scarf","a beanie",2,"a scarf",1,"gloves",2,"101001110","E1S_targ-stims/S40-trial3.jpg",2,"sundae","sundaes",3,1,2,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101100011"
41,"001011110","E1S_targ-stims/S41-trial1.jpg",1,"sundae","sundaes",2,3,1,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011100101","E1S_targ-stims/S41-trial2.jpg",2,"snowman","snowmen",2,3,1,"gloves","a beanie",2,"a scarf",1,"gloves",2,"110001011","E1S_targ-stims/S41-trial3.jpg",0,"face","faces",2,3,1,"mustache","a hat",2,"glasses",2,"a mustache",1,"110101010"
42,"001011110","E1S_targ-stims/S42-trial1.jpg",0,"snowman","snowmen",3,1,2,"scarf","a beanie",2,"a scarf",1,"gloves",2,"110001011","E1S_targ-stims/S42-trial2.jpg",2,"sundae","sundaes",1,3,2,"whipped cream","a cherry",2,"whipped cream",2,"chocolate sauce",1,"110101001","E1S_targ-stims/S42-trial3.jpg",1,"face","faces",2,1,3,"mustache","a hat",2,"glasses",1,"a mustache",2,"101001110"
43,"001011110","E1S_targ-stims/S43-trial1.jpg",2,"sundae","sundaes",1,2,3,"chocolate","a cherry",1,"whipped cream",2,"chocolate sauce",2,"010101110","E1S_targ-stims/S43-trial2.jpg",0,"face","faces",3,2,1,"mustache","a hat",2,"glasses",2,"a mustache",1,"110101001","E1S_targ-stims/S43-trial3.jpg",1,"snowman","snowmen",3,1,2,"scarf","a beanie",1,"a scarf",2,"gloves",2,"010101110"
44,"001011110","E1S_targ-stims/S44-trial1.jpg",2,"sundae","sundaes",2,3,1,"chocolate","a cherry",2,"whipped cream",1,"chocolate sauce",2,"110001011","E1S_targ-stims/S44-trial2.jpg",1,"face","faces",3,2,1,"mustache","a hat",1,"glasses",2,"a mustache",2,"100110011","E1S_targ-stims/S44-trial3.jpg",0,"snowman","snowmen",3,2,1,"beanie","a beanie",1,"a scarf",2,"gloves",2,"001101110"
45,"001011110","E1S_targ-stims/S45-trial1.jpg",2,"snowman","snowmen",3,2,1,"scarf","a beanie",1,"a scarf",2,"gloves",2,"010011101","E1S_targ-stims/S45-trial2.jpg",1,"face","faces",1,2,3,"mustache","a hat",2,"glasses",1,"a mustache",2,"011001110","E1S_targ-stims/S45-trial3.jpg",0,"sundae","sundaes",3,1,2,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011001110"
46,"001011110","E1S_targ-stims/S46-trial1.jpg",1,"sundae","sundaes",1,3,2,"cherry","a cherry",2,"whipped cream",2,"chocolate sauce",1,"101011010","E1S_targ-stims/S46-trial2.jpg",2,"snowman","snowmen",2,1,3,"gloves","a beanie",2,"a scarf",1,"gloves",2,"011100110","E1S_targ-stims/S46-trial3.jpg",0,"face","faces",3,2,1,"hat","a hat",1,"glasses",2,"a mustache",2,"001110101"
47,"001011110","E1S_targ-stims/S47-trial1.jpg",1,"snowman","snowmen",3,2,1,"beanie","a beanie",2,"a scarf",2,"gloves",1,"011110100","E1S_targ-stims/S47-trial2.jpg",2,"face","faces",3,2,1,"mustache","a hat",2,"glasses",1,"a mustache",2,"101010011","E1S_targ-stims/S47-trial3.jpg",0,"sundae","sundaes",1,2,3,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101100011"
48,"001011110","E1S_targ-stims/S48-trial1.jpg",1,"face","faces",3,1,2,"hat","a hat",2,"glasses",2,"a mustache",1,"101110010","E1S_targ-stims/S48-trial2.jpg",2,"snowman","snowmen",2,1,3,"gloves","a beanie",1,"a scarf",2,"gloves",2,"100011110","E1S_targ-stims/S48-trial3.jpg",0,"sundae","sundaes",2,3,1,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"101010110"
49,"001011110","E1S_targ-stims/S49-trial1.jpg",1,"snowman","snowmen",2,1,3,"beanie","a beanie",2,"a scarf",2,"gloves",1,"110101001","E1S_targ-stims/S49-trial2.jpg",0,"sundae","sundaes",2,3,1,"whipped cream","a cherry",2,"whipped cream",1,"chocolate sauce",2,"110010101","E1S_targ-stims/S49-trial3.jpg",2,"face","faces",3,1,2,"mustache","a hat",2,"glasses",1,"a mustache",2,"011100101"
50,"001011110","E1S_targ-stims/S50-trial1.jpg",0,"face","faces",2,1,3,"mustache","a hat",2,"glasses",2,"a mustache",1,"011101010","E1S_targ-stims/S50-trial2.jpg",2,"snowman","snowmen",1,2,3,"gloves","a beanie",1,"a scarf",2,"gloves",2,"010101110","E1S_targ-stims/S50-trial3.jpg",1,"sundae","sundaes",2,3,1,"cherry","a cherry",2,"whipped cream",1,"chocolate sauce",2,"011100101"
