"Matrix","Nrow","Ncol","IBRDepth","IBRSpkSep","IBRLisSep"
"0000000000000111111111111",5,5,3,FALSE,FALSE
"0000000000001001101111100",5,5,3,FALSE,TRUE
"0000000000001011101011100",5,5,4,FALSE,TRUE
"0000000000001011101011101",5,5,3,FALSE,TRUE
"0000000000001011101111100",5,5,3,FALSE,TRUE
"0000000000001011101111101",5,5,4,FALSE,TRUE
"0000000000001110011111000",5,5,3,FALSE,FALSE
"0000000000001110011111001",5,5,5,FALSE,FALSE
"0000000000001110011111011",5,5,3,FALSE,FALSE
"0000000000001110011111111",5,5,3,FALSE,FALSE
"0000000000001110100010000",5,5,3,FALSE,TRUE
"0000000000001110100010001",5,5,3,FALSE,TRUE
"0000000000001110100010011",5,5,5,FALSE,FALSE
"0000000000001110100010111",5,5,3,FALSE,TRUE
"0000000000001110100011000",5,5,3,FALSE,TRUE
"0000000000001110100011001",5,5,5,FALSE,FALSE
"0000000000001110100011011",5,5,3,FALSE,TRUE
"0000000000001110100011111",5,5,3,FALSE,TRUE
"0000000000001110100110000",5,5,3,FALSE,TRUE
"0000000000001110100110001",5,5,5,FALSE,FALSE
"0000000000001110100110010",5,5,3,FALSE,TRUE
"0000000000001110100110011",5,5,5,FALSE,FALSE
"0000000000001110100110110",5,5,4,FALSE,TRUE
"0000000000001110100110111",5,5,3,FALSE,TRUE
"0000000000001110100111000",5,5,5,FALSE,FALSE
"0000000000001110100111001",5,5,3,FALSE,TRUE
"0000000000001110100111010",5,5,5,FALSE,FALSE
"0000000000001110100111011",5,5,3,FALSE,TRUE
"0000000000001110100111110",5,5,3,FALSE,TRUE
"0000000000001110100111111",5,5,3,FALSE,TRUE
"0000000000001110101110000",5,5,5,FALSE,FALSE
"0000000000001110101110001",5,5,5,FALSE,FALSE
"0000000000001110101110011",5,5,5,FALSE,FALSE
"0000000000001110101110100",5,5,4,FALSE,TRUE
"0000000000001110101110101",5,5,5,FALSE,FALSE
"0000000000001110101110111",5,5,5,FALSE,FALSE
"0000000000001110101111000",5,5,4,FALSE,TRUE
"0000000000001110101111001",5,5,5,FALSE,FALSE
"0000000000001110101111011",5,5,5,FALSE,FALSE
"0000000000001110101111100",5,5,7,FALSE,FALSE
"0000000000001110101111101",5,5,5,FALSE,FALSE
"0000000000001110101111111",5,5,5,FALSE,FALSE
"0000000000001110111110000",5,5,3,FALSE,TRUE
"0000000000001110111110001",5,5,3,FALSE,TRUE
"0000000000001110111110011",5,5,5,FALSE,FALSE
"0000000000001110111110111",5,5,3,FALSE,TRUE
"0000000000001110111111000",5,5,3,FALSE,TRUE
"0000000000001110111111001",5,5,5,FALSE,FALSE
"0000000000001110111111011",5,5,4,FALSE,TRUE
"0000000000001110111111111",5,5,3,FALSE,TRUE
"0000000000001111100011000",5,5,3,FALSE,FALSE
"0000000000001111100011001",5,5,4,FALSE,TRUE
"0000000000001111100011011",5,5,3,FALSE,TRUE
"0000000000001111100011111",5,5,3,FALSE,TRUE
"0000000000001111100111001",5,5,5,FALSE,FALSE
"0000000000001111100111010",5,5,7,FALSE,FALSE
"0000000000001111100111011",5,5,5,FALSE,FALSE
"0000000000001111100111110",5,5,5,FALSE,FALSE
"0000000000001111100111111",5,5,5,FALSE,FALSE
"0000000000001111101111011",5,5,3,FALSE,FALSE
"0000000000001111101111100",5,5,5,FALSE,FALSE
"0000000000001111101111101",5,5,3,FALSE,FALSE
"0000000000001111101111111",5,5,3,FALSE,TRUE
"0000000000001111111111111",5,5,3,FALSE,FALSE
"0000000000010001011111000",5,5,3,FALSE,TRUE
"0000000000010011011011000",5,5,5,FALSE,FALSE
"0000000000010011011011001",5,5,4,FALSE,TRUE
"0000000000010011011111000",5,5,5,FALSE,FALSE
"0000000000010011011111001",5,5,3,FALSE,TRUE
"0000000000010111010011000",5,5,5,FALSE,FALSE
"0000000000010111010011001",5,5,4,FALSE,TRUE
"0000000000010111010011011",5,5,3,FALSE,TRUE
"0000000000010111010111000",5,5,5,FALSE,FALSE
"0000000000010111010111001",5,5,5,FALSE,FALSE
"0000000000010111010111010",5,5,7,FALSE,FALSE
"0000000000010111010111011",5,5,5,FALSE,FALSE
"0000000000010111011111000",5,5,3,FALSE,TRUE
"0000000000010111011111001",5,5,5,FALSE,FALSE
"0000000000010111011111011",5,5,4,FALSE,TRUE
"0000000000011110111110000",5,5,3,FALSE,FALSE
"0000000000011110111110001",5,5,3,FALSE,FALSE
